Species,Species_model,sla,lnm,lpm,CHELSA_bio10_1,CHELSA_bio10_4,CHELSA_bio10_12,CHELSA_bio10_15,PFTs,Realm,KG_classes,KG_classORD,Ancestral_DECJ_family,Ancestral_description_family
Miconia_hondurensis,Miconia_hondurensis,11.5859375,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,10.82481752,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,10.44366197,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,15.51654199,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,16.74337882,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,12.51083458,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,11.72753043,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,11.99173152,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,13.04613596,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,11.80259013,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,12.64727789,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,14.05539104,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,12.89908845,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,14.07654319,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,11.62710196,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_hondurensis,Miconia_hondurensis,12.78922669,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,20.44012797,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,21.06886609,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,17.98728822,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,20.63262772,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,20.80898236,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,16.39918253,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,21.90608604,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,21.18351472,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,15.25191773,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,16.64266911,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,10.72676213,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,14.90758437,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_impetiolaris,Miconia_impetiolaris,11.26048535,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_prasina,Miconia_prasina,15.01332639,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Miconia_prasina,Miconia_prasina,14.63875417,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,13.78358108,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,13.88344227,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,12.65799951,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,15.19595482,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,14.42816864,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,14.53921569,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,19.17313936,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,18.79123241,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,20.44289123,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,21.69154229,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,20.1051119,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,19.80792651,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,17.16140709,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,19.71583786,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,17.24105012,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,15.05345688,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,17.24304893,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,12.14541599,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,12.13032105,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,11.95967742,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,16.05400102,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,14.14181344,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,16.27696399,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,12.64118724,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,12.49337142,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,10.91306989,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,12.77558457,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,12.35757413,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Myrcia_gatunensis,Myrcia_gatunensis,11.19344583,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,A,Afw
Nectandra_cissiflora,Nectandra_cissiflora,15.08676208,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,13.45416127,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,16.46848267,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,14.53243952,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,16.62413359,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,17.35402586,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,15.1469717,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,15.0675413,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,13.93437162,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,14.5718937,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,13.41527039,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,10.17542449,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,11.06349151,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,9.256420898,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,6.995283019,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,10.29861111,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
